title,domain,score,country_code,reg_dtime
,http://allegrolokalnie.pl-oferta25323.cfd,Critical,,2026-03-18 02:22:32 (UTC)
USPS® Marketing Education Portal - United States Postal Service,http://uspsmailjourney.com,Critical,US,2026-03-18 02:25:22 (UTC)
Website Takedown Notice - Lovable Trust & Safety,http://pichinchiaenlinea12.lovable.app,Low,SE,2026-03-18 02:26:46 (UTC)
,http://allegrolokalnie.net-priv-aukcja-nr-92192-kup.online,Critical,,2026-03-18 02:27:25 (UTC)
Facebook - Logga in eller registrera dig,http://facebook-54329865478-jpg.com,Critical,BG,2026-03-18 02:29:13 (UTC)
,http://abusdhlasa.netlify.app,Low,SG,2026-03-18 02:30:33 (UTC)
Site not found · GitHub Pages,http://rogerlicentree.github.io,Low,US,2026-03-18 02:31:02 (UTC)
For Sale Domain: ernational.com,http://ernational.com,Low,US,2026-03-18 02:34:14 (UTC)
,http://allegrolokalnie.net-ogloszenie-nr-291031-kup.online,Critical,,2026-03-18 02:35:48 (UTC)
Strona nie została znaleziona | Allegro Lokalnie,http://allegrolokalnie.pl-oferta5345383.click,Low,,2026-03-18 02:37:40 (UTC)
验证页面 - Gemini Balance,http://api.scale100.win,Critical,SG,2026-03-18 02:39:14 (UTC)
4bf7d2f1-d7c0-4dd8-9e08-3ba428fc50fe-00-2jyovhxmqiov9.worf.replit.dev,http://4bf7d2f1-d7c0-4dd8-9e08-3ba428fc50fe-00-2jyovhxmqiov9.worf.replit.dev,Low,US,2026-03-18 02:40:43 (UTC)
Sign in - Professional Email,http://tourmaline-chaja-24f4f7.netlify.app,Low,SG,2026-03-18 02:42:19 (UTC)
The app is currently not running. Deploy this app to keep it running externally.,http://5128045f-d244-4571-810a-f8b8209b9aea-00-2rz6sd0pemcg7.janeway.replit.dev,Low,US,2026-03-18 02:42:56 (UTC)
블로그를 찾을 수 없습니다.,http://www.shopeetbk666.blogspot.com,Low,US,2026-03-18 02:44:24 (UTC)
Amazon-Clone,http://amazon-clone-amber-nine.vercel.app,Low,US,2026-03-18 02:44:57 (UTC)
Site not found · GitHub Pages,http://shajahan-18.github.io,Low,US,2026-03-18 02:45:32 (UTC)
Nothing is here yet,http://invoicecarcareenquirydocusign.appwrite.network,Critical,US,2026-03-18 02:46:08 (UTC)
allegrolokalnie.pl,http://allegrolokalnie.y6614214.click,Low,,2026-03-18 02:46:56 (UTC)
Site not found · GitHub Pages,http://anticheatv46.github.io,Low,US,2026-03-18 02:48:17 (UTC)
Suspected phishing site | Cloudflare,http://xodus-web3-wallet.pages.dev,Low,,2026-03-18 02:48:48 (UTC)
OpenSea.io,http://www.mystery-box-ivory.vercel.app,Low,US,2026-03-18 02:49:22 (UTC)
Suspected phishing site | Cloudflare,http://olx-confirmare.info,Critical,,2026-03-18 02:50:15 (UTC)
Ecount WebMail - Login,http://ecount-smoky.vercel.app,Low,US,2026-03-18 02:51:56 (UTC)
Site not found · GitHub Pages,http://shayan76543.github.io,Low,US,2026-03-18 02:52:37 (UTC)
Sign in or Register | eBay,http://www.ebay-seller-center-managedpayments.vercel.app,Low,US,2026-03-18 02:53:10 (UTC)
Google,http://itau.atualizacao-de-cliente.com,Safe,SG,2026-03-18 02:53:41 (UTC)
404 Not Found,http://www.service-gestions-paiements-antai.trisaincorporadora.com.br,Critical,BR,2026-03-18 02:55:33 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.atualizarmodulo.com,Critical,,2026-03-18 02:57:11 (UTC)
Suspected phishing site | Cloudflare,http://nomurahelp.support-restore.cfd,Critical,,2026-03-18 02:58:37 (UTC)
MezoPleskV2,http://urefermioerehdfje.org,Critical,FR,2026-03-18 03:00:25 (UTC)
404 Not Found,http://allegrolokalnie.pl-475328984.icu,Critical,,2026-03-18 03:01:52 (UTC)
Exodus Wallet - Secure Multi-Asset Cryptocurrency Wallet,http://web-doe-exdus.pages.dev,Low,,2026-03-18 03:03:11 (UTC)
Suspected phishing site | Cloudflare,http://allegrolokalnie.pl-9445431.sbs,Critical,,2026-03-18 03:03:46 (UTC)
,http://parking-pcn.vip,Critical,SG,2026-03-18 03:05:23 (UTC)
The app is currently not running. Deploy this app to keep it running externally.,http://ecb76e9d-a130-4717-a327-753b0fc21b79-00-2fz0panl09gum.kirk.replit.dev,Low,US,2026-03-18 03:07:07 (UTC)
Site not found · GitHub Pages,http://devikamohan2007.github.io,Low,US,2026-03-18 03:08:29 (UTC)
블로그를 찾을 수 없습니다.,http://shopeetbk455.blogspot.com,Low,US,2026-03-18 03:09:04 (UTC)
Run this app to see the results here.,http://3fa7f858-1ab2-4c0e-a523-da90986deb11-00-2hykhfc89sn8a.worf.replit.dev,Low,US,2026-03-18 03:09:38 (UTC)
Plesk Obsidian 18.0.76,http://reprogrammer-paquet-fr.com,Critical,DE,2026-03-18 03:11:30 (UTC)
,http://allegro.zrpoyie83-2032982.cfd,Critical,,2026-03-18 03:13:06 (UTC)
Telegram: Join Group Chat,http://google_news.enn.kr,Critical,KR,2026-03-18 03:14:44 (UTC)
Site not found · GitHub Pages,http://kapilananda.github.io,Low,US,2026-03-18 03:17:33 (UTC)
Webmail Sign-in,http://webmall-qwert.appwrite.network,Critical,US,2026-03-18 03:19:05 (UTC)
Amazon,http://amazon-clone-xi-blush.vercel.app,Low,US,2026-03-18 03:19:37 (UTC)
Deployment Unavailable,http://bal202-gplq.vercel.app,Low,US,2026-03-18 03:20:06 (UTC)
Рабочий чат,http://whatsapp.ikshar.ru,Critical,KZ,2026-03-18 03:20:52 (UTC)
"One moment, please...",http://unisgrouplcd.com,Critical,US,2026-03-18 03:22:16 (UTC)
Site not found · GitHub Pages,http://yahoojkj.github.io,Low,US,2026-03-18 03:22:50 (UTC)
Particulares | novobanco,http://cartao-premium.top,Safe,SG,2026-03-18 03:24:06 (UTC)
Website Takedown Notice - Lovable Trust & Safety,http://pichincha-credit-portal.lovable.app,Low,SE,2026-03-18 03:25:25 (UTC)
Suspected phishing site | Cloudflare,http://craig-west-co-uk.pages.dev,Low,,2026-03-18 03:26:57 (UTC)
PayPal Login – A Complete and Simple Guide for Secure Access,http://paypall-login.blogspot.com,Low,US,2026-03-18 03:30:35 (UTC)
Viva Sorte,http://1-sigma-beryl.vercel.app,Low,US,2026-03-18 03:31:05 (UTC)
네이버 : 로그인,http://elegant-smakager-fca8d0.netlify.app,Low,SG,2026-03-18 03:31:49 (UTC)
,http://allegro.ofer-0329g8473.cyou,Critical,,2026-03-18 03:32:50 (UTC)
Suspected phishing site | Cloudflare,http://pembatalan-pinjaman-paylater-6dw.pages.dev,Low,,2026-03-18 03:34:09 (UTC)
calm-butterfly-2c52.fix5465hd.workers.dev,http://calm-butterfly-2c52.fix5465hd.workers.dev,Low,,2026-03-18 03:34:51 (UTC)
Run this app to see the results here.,http://572e434b-2b07-4367-a8d9-7590bf770708-00-2cd9jdm6tcu78.riker.replit.dev,Low,US,2026-03-18 03:36:18 (UTC)
,http://allegrolokalnie.62343.cfd,Critical,,2026-03-18 03:37:47 (UTC)
Deployment Unavailable,http://www.bal202-gplq.vercel.app,Low,US,2026-03-18 03:39:17 (UTC)
"One moment, please...",http://geraldoseguros.cl,Critical,US,2026-03-18 03:40:05 (UTC)
layanan01.web.id | 522: Connection timed out,http://oficiall.layanan01.web.id,Critical,,2026-03-18 03:42:03 (UTC)
