title,domain,score,country_code,reg_dtime,scan_id
Coinbase - Sign In,http://29395341-coinbase.com,Critical,RU,2024-10-11 02:30:56 (UTC),16109209
crohns-disease-treatment-53114.bond,http://crohns-disease-treatment-53114.bond,Critical,US,2024-10-11 02:31:56 (UTC),16109262
crohns-disease-treatment-50238.bond,http://crohns-disease-treatment-50238.bond,Critical,,2024-10-11 02:32:44 (UTC),16109292
careeryinfo,http://careeryinfo.com,Critical,GB,2024-10-11 02:33:49 (UTC),16109319
porkbun.com | parked domain,http://built2modebikes.com,Critical,US,2024-10-11 02:34:38 (UTC),16109364
,http://gtechina.com,Critical,,2024-10-11 02:37:43 (UTC),16109464
work-in-usa-20786.bond,http://work-in-usa-20786.bond,Critical,US,2024-10-11 02:38:18 (UTC),16109475
lasik-eye-surgery-24015.bond,http://lasik-eye-surgery-24015.bond,Critical,US,2024-10-11 02:41:57 (UTC),16109544
Contact Support,http://axe.jfv.temporary.site,Critical,US,2024-10-11 02:46:04 (UTC),16109625
Domain Parked With VentraIP Australia,http://bookaruralspeaker.com,Critical,AU,2024-10-11 02:47:12 (UTC),16109637
porkbun.com | parked domain,http://fixbounce.click,Critical,US,2024-10-11 02:51:39 (UTC),16109681
shipping-container-homes-35918.bond,http://shipping-container-homes-35918.bond,Critical,US,2024-10-11 02:52:24 (UTC),16109688
fixed-income-investments-42672.bond,http://fixed-income-investments-42672.bond,Critical,US,2024-10-11 02:53:28 (UTC),16109697
Site en construction,http://growsite.cloud,Critical,,2024-10-11 02:58:39 (UTC),16109732
fakefriends,http://fakefriends.club,Critical,US,2024-10-11 03:02:56 (UTC),16109764
DNS resolution error | cannacoffeeicecream.com | Cloudflare,http://cannacoffeeicecream.com,Critical,,2024-10-11 03:04:05 (UTC),16109776
botibrowser.com,http://botibrowser.com,Critical,FR,2024-10-11 03:05:52 (UTC),16109788
,http://buarnim-uae.com,Critical,GB,2024-10-11 03:07:42 (UTC),16109792
228体育 228.com,http://894623.club,Critical,HK,2024-10-11 03:13:42 (UTC),16109843
