IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
188.166.252.88,c2_covenant,7443,Critical/Critical,SG,2024-08-15 06:18:59
80.203.15.24,c2_posh,8443,Safe/Critical,NO,2024-08-04 01:42:23
34.49.200.254,c2_mythic,8006,Moderate/Critical,DE,2024-08-26 15:56:26
210.2.169.247,c2_havoc,443,Safe/Critical,US,2024-08-26 10:21:42
52.39.171.29,c2_meshagent,80,Low/Critical,US,2024-08-27 03:06:31
91.223.82.25,c2_metasploit,3790,Critical/Critical,FR,2024-08-19 02:45:38
140.238.147.28,c2_meshagent,80,Critical/Critical,NL,2024-08-27 00:28:45
116.203.22.124,c2_mythic,80,Safe/Critical,GB,2024-08-26 20:57:01
13.93.32.158,c2_meshagent,443,Low/Critical,US,2024-08-27 02:33:57
46.235.225.189,c2_mythic,80,Safe/Safe,FI,2024-08-26 23:27:17
45.32.140.174,c2_mythic,80,Critical/Critical,US,2024-08-26 17:15:25
13.89.43.10,c2_meshagent,80,Low/Critical,US,2024-08-27 02:26:06
8.213.210.58,c2_metasploit,3790,Moderate/Critical,GB,2024-08-19 01:06:15
81.0.219.234,c2_metasploit,3790,Critical/Critical,DE,2024-08-19 02:01:17
54.153.244.10,c2_havoc,443,Low/Critical,BZ,2024-08-23 14:48:41
194.233.92.148,c2_havoc,443,Low/Critical,RU,2024-08-24 20:56:36
172.233.121.249,c2_havoc,80,Low/Critical,SG,2024-08-26 01:37:00
129.159.145.161,c2_meshagent,443,Critical/Critical,US,2024-08-27 01:55:53
137.184.45.196,c2_havoc,80,Low/Critical,US,2024-08-26 19:37:39
52.152.136.111,c2_meshagent,443,Low/Critical,US,2024-08-27 01:40:04
165.227.177.7,c2_havoc,443,Low/Critical,PK,2024-08-26 12:45:25
13.229.117.58,c2_meshagent,80,Low/Critical,US,2024-08-27 02:17:28
52.70.216.184,c2_meshagent,443,Low/Critical,SG,2024-08-27 02:22:43
52.15.131.83,c2_meshagent,80,Low/Critical,US,2024-08-27 01:03:23
129.159.253.159,c2_meshagent,443,Critical/Critical,SG,2024-08-27 02:17:45
188.166.180.187,c2_mythic,443,Low/Critical,GB,2024-08-26 10:39:14
158.160.84.31,c2_havoc,80,Low/Critical,NL,2024-08-26 10:21:37
80.76.43.57,c2_metasploit,3790,Moderate/Critical,CN,2024-08-19 01:22:25
107.161.22.118,c2_mythic,80,Critical/Critical,US,2024-08-26 14:13:56
51.222.226.144,c2_mythic,80,Safe/Critical,CA,2024-08-26 23:44:51
107.172.57.113,c2_havoc,443,Moderate/Critical,NL,2024-08-24 20:55:09
158.247.198.34,c2_havoc,443,Critical/Critical,NL,2024-08-26 07:52:19
62.138.184.20,c2_metasploit,3790,Safe/Critical,NL,2024-08-19 00:09:09
52.179.157.18,c2_meshagent,80,Low/Critical,US,2024-08-27 01:22:54
45.83.245.217,c2_mythic,443,Safe/Critical,FR,2024-08-26 12:53:26
52.15.112.117,c2_meshagent,80,Low/Critical,BR,2024-08-27 04:09:47
84.247.179.26,c2_metasploit,3790,Moderate/Critical,DE,2024-08-19 02:08:38
87.229.94.231,c2_metasploit,3790,Critical/Critical,RU,2024-08-19 02:17:45
77.92.95.143,c2_metasploit,3790,Critical/Critical,UA,2024-08-19 01:06:20
89.111.133.213,c2_metasploit,3790,Safe/Critical,FR,2024-08-19 02:45:40
128.97.52.66,c2_meshagent,80,Safe/Critical,US,2024-08-27 01:33:59
52.91.235.206,c2_meshagent,80,Low/Critical,NL,2024-08-27 02:18:03
46.235.229.45,c2_mythic,80,Safe/Critical,US,2024-08-26 18:44:47
20.188.119.195,c2_havoc,80,Low/Critical,US,2024-08-26 00:35:53
103.86.177.103,c2_metasploit,3790,Low/Critical,RU,2024-08-19 02:51:06
128.140.52.73,c2_meshagent,443,Safe/Critical,US,2024-08-27 01:44:49
52.67.100.178,c2_meshagent,443,Low/Critical,FR,2024-08-27 03:09:55
194.26.29.243,c2_havoc,443,Moderate/Critical,US,2024-08-25 00:37:11
52.189.70.58,c2_meshagent,80,Low/Critical,US,2024-08-27 04:34:01
128.199.226.47,c2_meshagent,443,Low/Critical,US,2024-08-27 02:00:19
