IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
146.190.212.84,c2_covenant,7443,Critical/Critical,US,2024-10-18 23:32:48
46.235.229.45,c2_mythic,443,Safe/Critical,DE,2024-10-28 22:44:40
207.148.117.38,c2_havoc,443,Safe/Critical,ES,2024-10-28 23:24:41
213.165.86.135,c2_meshagent,80,Safe/Critical,GB,2024-10-29 01:02:30
77.92.95.144,c2_metasploit,3790,Critical/Critical,FR,2024-10-22 13:43:31
213.126.36.30,c2_meshagent,80,Moderate/Critical,DE,2024-10-29 00:38:54
82.156.199.229,c2_metasploit,3790,Critical/Critical,FR,2024-10-22 13:52:06
52.201.104.124,c2_mythic,80,Low/Safe,CA,2024-10-29 00:01:18
52.35.242.83,c2_meshagent,80,Low/Critical,US,2024-10-29 03:36:38
93.93.129.174,c2_mythic,80,Safe/Safe,US,2024-10-28 23:16:22
52.3.8.179,c2_metasploit,3790,Critical/Critical,US,2024-10-22 10:24:53
189.126.111.158,c2_havoc,443,Safe/Critical,NL,2024-10-26 00:01:24
188.165.219.75,c2_mythic,80,Safe/Critical,US,2024-10-28 09:55:41
167.71.160.223,c2_havoc,80,Low/Critical,AU,2024-10-28 04:28:56
164.90.253.167,c2_havoc,443,Low/Critical,DE,2024-10-28 04:48:05
213.233.42.57,c2_meshagent,80,Safe/Critical,NL,2024-10-29 00:45:45
213.47.217.68,c2_meshagent,80,Safe/Critical,IT,2024-10-29 01:22:19
51.222.226.144,c2_mythic,443,Safe/Critical,US,2024-10-29 00:33:11
94.142.242.244,c2_meshagent,443,Safe/Critical,ES,2024-10-29 00:39:56
88.214.25.251,c2_metasploit,3790,Safe/Critical,NL,2024-10-22 14:34:55
170.64.239.90,c2_havoc,80,Low/Critical,DE,2024-10-28 11:43:57
52.59.249.182,c2_meshagent,80,Low/Critical,DE,2024-10-29 03:02:12
88.80.187.129,c2_mythic,80,Critical/Critical,GB,2024-10-28 21:57:48
45.33.116.110,c2_covenant,7443,Low/Critical,US,2024-10-18 23:32:46
95.216.201.166,c2_metasploit,3790,Safe/Critical,FR,2024-10-22 14:50:56
200.58.103.208,c2_mythic,80,Moderate/Critical,IN,2024-10-28 13:29:49
81.0.219.234,c2_metasploit,3790,Critical/Critical,CN,2024-10-22 14:04:58
46.235.225.138,c2_mythic,80,Safe/Critical,US,2024-10-28 13:54:48
104.130.159.58,c2_metasploit,3790,Safe/Critical,FI,2024-10-22 15:21:25
50.75.188.194,c2_mythic,443,Safe/Critical,DE,2024-10-28 22:48:16
95.213.222.232,c2_meshagent,443,Moderate/Critical,DE,2024-10-29 01:56:19
64.7.198.196,c2_havoc,443,Moderate/Critical,RO,2024-10-27 19:08:46
213.211.150.111,c2_meshagent,80,Safe/Critical,BG,2024-10-29 01:02:53
212.227.76.105,c2_mythic,443,Critical/Critical,DE,2024-10-28 22:23:04
178.215.224.174,c2_havoc,443,Safe/Critical,HK,2024-10-26 16:42:23
52.15.112.117,c2_meshagent,80,Low/Critical,US,2024-10-29 02:06:20
188.40.59.236,c2_mythic,80,Critical/Critical,FR,2024-10-28 09:20:11
50.116.26.208,c2_mythic,5000,Critical/Critical,FR,2024-10-29 03:49:08
165.227.158.213,c2_havoc,443,Low/Critical,US,2024-10-28 03:23:03
198.7.124.125,c2_havoc,443,Safe/Critical,BR,2024-10-25 10:47:36
95.230.210.76,c2_meshagent,443,Safe/Critical,AT,2024-10-29 01:20:30
52.11.106.124,C2,80,Low/Critical,US,2024-10-29 02:27:41
52.201.0.79,c2_meshagent,80,Low/Critical,DE,2024-10-29 01:40:52
77.92.95.143,c2_metasploit,3790,Critical/Critical,US,2024-10-22 12:21:58
213.183.48.210,c2_meshagent,80,Critical/Critical,FI,2024-10-29 01:21:42
46.235.225.189,c2_mythic,80,Safe/Safe,GB,2024-10-28 21:54:17
188.166.180.187,c2_mythic,80,Low/Critical,SG,2024-10-28 08:55:43
213.27.210.9,c2_meshagent,80,Safe/Critical,NL,2024-10-29 00:45:31
85.214.111.149,c2_metasploit,3790,Safe/Safe,GB,2024-10-22 14:03:14
185.246.65.149,c2_havoc,80,Safe/Critical,DE,2024-10-27 17:44:29
