IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
45.116.104.104,c2_mythic,7443,Critical/Critical,nl,2026-02-22 04:55:41
109.205.180.199,c2_havoc,4344,Critical/Critical,fr,2026-02-15 20:51:54
95.90.137.85,c2_meshagent,443,Critical/Critical,de,2026-02-28 12:25:41
46.235.225.189,c2_mythic,80,Critical/Safe,gb,2026-02-28 05:35:27
95.179.242.139,c2_meshagent,443,Critical/Critical,de,2026-02-28 12:22:49
134.122.45.126,c2_meshagent,80,Critical/Critical,ca,2026-02-28 13:20:49
95.47.122.87,c2_meshagent,443,Critical/Critical,ua,2026-02-28 12:36:21
35.92.162.80,c2_havoc,80,Critical/Critical,us,2026-02-10 19:14:20
3.8.204.222,c2_havoc,443,Critical/Critical,gb,2026-02-16 18:28:17
95.217.19.117,c2_meshagent,443,Critical/Critical,fi,2026-02-28 12:30:47
130.61.204.173,c2_meshagent,443,Critical/Critical,de,2026-02-28 13:09:32
95.179.191.226,c2_havoc,443,Critical/Critical,nl,2026-02-24 12:49:42
96.74.170.101,c2_meshagent,443,Critical/Critical,us,2026-02-28 13:17:37
96.9.226.156,c2_meshagent,443,Critical/Critical,ca,2026-02-28 12:46:38
89.147.110.214,c2_meshagent,443,Critical/Critical,is,2026-02-28 13:16:23
173.212.222.49,c2_covenant,7443,Critical/Critical,fr,2026-02-28 04:04:20
47.91.124.11,c2_mythic,80,Critical/Critical,ae,2026-02-25 05:34:30
131.130.83.10,c2_meshagent,443,Critical/Critical,at,2026-02-28 13:20:42
98.81.160.180,c2_posh,8443,Critical/Critical,us,2026-02-27 07:59:51
188.166.167.159,c2_havoc,80,Critical/Critical,de,2026-02-04 08:45:37
46.62.161.76,c2_mythic,80,Critical/Critical,fi,2026-02-25 11:22:18
20.188.119.195,c2_havoc,443,Critical/Critical,sg,2026-02-28 02:48:45
96.252.51.245,c2_meshagent,443,Critical/Critical,us,2026-02-28 14:28:46
95.222.33.179,c2_meshagent,443,Critical/Critical,de,2026-02-28 12:42:40
49.13.116.197,c2_mythic,80,Critical/Critical,de,2026-02-22 16:27:48
134.209.30.4,c2_havoc,443,Critical/Moderate,gb,2026-02-27 15:04:15
3.85.107.177,c2_havoc,443,Critical/Critical,us,2026-02-21 02:11:47
44.237.51.75,c2_mythic,80,Critical/Critical,us,2026-02-08 18:37:39
96.38.31.195,c2_meshagent,80,Critical/Critical,us,2026-02-28 13:15:35
197.204.246.83,c2_havoc,9003,Critical/Critical,dz,2026-02-12 01:38:52
130.162.221.203,c2_meshagent,443,Critical/Critical,de,2026-02-28 13:06:05
15.204.95.228,c2_havoc,443,Critical/Critical,us,2026-02-27 03:41:44
89.190.158.138,c2_meshagent,80,Critical/Critical,nl,2026-02-28 13:23:06
96.38.101.107,c2_meshagent,443,Critical/Critical,us,2026-02-28 12:47:25
47.129.202.153,c2_mythic,80,Critical/Critical,sg,2026-02-25 04:15:22
46.235.225.138,c2_mythic,443,Critical/Critical,gb,2026-02-24 05:55:10
44.218.248.66,c2_mythic,7443,Critical/Critical,us,2026-02-26 01:42:14
37.1.226.227,c2_mythic,80,Critical/Critical,gb,2026-02-01 16:54:27
34.212.47.245,c2_mythic,7443,Critical/Critical,us,2026-02-23 10:04:32
50.87.65.199,c2_mythic,443,Critical/Critical,us,2026-02-28 01:42:35
96.68.171.76,c2_meshagent,443,Critical/Critical,us,2026-02-28 13:11:26
130.61.149.115,c2_meshagent,443,Critical/Critical,de,2026-02-28 13:10:07
52.41.166.221,c2_mythic,80,Critical/Critical,us,2026-02-25 04:57:13
173.230.145.168,c2_meshagent,443,Critical/Critical,us,2026-02-28 13:05:51
143.110.217.226,c2_havoc,8443,Critical/Critical,ca,2026-02-05 13:49:13
131.108.124.182,c2_meshagent,80,Critical/Critical,br,2026-02-28 13:20:42
44.236.45.143,c2_mythic,443,Critical/Critical,us,2026-02-26 01:09:33
185.196.10.153,c2_havoc,80,Critical/Critical,gb,2026-02-27 12:31:15
13.93.32.158,c2_meshagent,80,Critical/Critical,nl,2026-02-28 14:07:53
45.32.140.174,c2_mythic,80,Critical/Critical,us,2026-02-28 10:35:05
