IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
137.184.97.20,c2_metasploit,3790,Critical/Critical,us,2025-12-20 04:26:52
147.135.1.213,c2_mythic,80,Critical/Critical,us,2026-01-01 03:04:49
86.54.42.94,c2_havoc,443,Critical/Critical,sc,2025-12-31 18:56:09
13.233.136.46,c2_meshagent,443,Critical/Critical,in,2026-01-01 05:01:54
208.86.67.111,c2_mythic,443,Critical/Critical,us,2026-01-01 00:02:45
79.143.87.222,c2_metasploit,3790,Critical/Critical,ir,2025-12-20 15:08:55
104.238.129.233,c2_meshagent,80,Critical/Critical,us,2026-01-01 03:01:48
165.232.173.110,c2_metasploit,3790,Critical/Critical,sg,2025-12-20 13:53:33
176.126.244.57,c2_mythic,80,Critical/Critical,gb,2025-12-31 21:59:03
13.60.62.69,c2_meshagent,443,Critical/Critical,se,2026-01-01 04:52:35
13.54.201.76,c2_meshagent,443,Critical/Critical,au,2026-01-01 05:00:38
145.249.109.9,c2_metasploit,3790,Critical/Critical,ru,2025-12-20 06:29:20
162.55.91.224,c2_metasploit,3790,Critical/Critical,de,2025-12-20 11:41:32
34.209.232.97,c2_havoc,443,Critical/Critical,us,2025-12-31 19:24:39
23.254.215.118,c2_havoc,80,Critical/Critical,us,2025-12-31 04:27:03
176.126.242.25,c2_mythic,443,Critical/Critical,gb,2025-12-31 22:03:26
1.15.106.229,c2_havoc,80,Critical/Critical,cn,2025-12-31 08:13:05
192.81.135.7,c2_mythic,443,Critical/Critical,us,2026-01-01 00:22:17
3.74.157.98,c2_meshagent,80,Critical/Critical,de,2026-01-01 03:03:23
185.124.8.96,c2_mythic,443,Critical/Critical,ua,2025-12-31 20:45:30
132.145.156.102,c2_mythic,443,Critical/Critical,us,2025-12-31 20:04:33
44.244.204.235,c2_havoc,443,Critical/Critical,us,2025-12-21 07:32:20
3.150.6.129,c2_mythic,443,Critical/Critical,us,2025-12-31 21:15:32
172.104.155.65,c2_mythic,80,Critical/Critical,de,2025-12-31 20:49:10
13.61.188.176,c2_meshagent,443,Critical/Critical,se,2026-01-01 04:57:45
82.180.146.166,c2_metasploit,3790,Critical/Critical,in,2025-12-20 13:45:37
150.136.236.250,c2_mythic,443,Critical/Critical,us,2025-12-31 23:48:19
69.5.189.9,c2_havoc,8080,Critical/Critical,sc,2025-12-26 02:44:06
13.48.10.196,c2_meshagent,80,Critical/Critical,se,2026-01-01 03:41:40
165.227.136.106,c2_metasploit,3790,Critical/Critical,de,2025-12-20 13:53:33
13.38.178.248,c2_meshagent,443,Critical/Critical,fr,2026-01-01 02:53:25
139.99.144.141,c2_mythic,80,Safe/Low,au,2026-01-01 01:07:58
3.11.144.113,c2_meshagent,80,Critical/Critical,gb,2026-01-01 03:58:04
104.248.172.20,c2_mythic,80,Critical/Critical,gb,2026-01-01 01:14:18
13.235.97.70,c2_meshagent,80,Critical/Critical,in,2026-01-01 04:08:08
187.57.147.70,c2_havoc,4433,Critical/Critical,br,2025-12-19 07:51:32
185.70.130.174,c2_darkcomet,443,Critical/Critical,ru,2025-12-23 01:44:06
185.233.40.88,c2_mythic,443,Critical/Critical,ua,2025-12-31 19:51:59
159.198.75.249,c2_havoc,443,Critical/Critical,us,2025-12-30 19:43:38
174.138.41.37,c2_mythic,443,Critical/Critical,us,2025-12-31 21:38:49
160.191.33.222,c2_metasploit,3790,Critical/Critical,vn,2025-12-20 13:04:50
209.74.87.113,c2_mythic,80,Critical/Critical,us,2026-01-01 02:43:03
104.219.236.183,c2_meshagent,80,Critical/Critical,us,2026-01-01 03:01:47
104.248.5.223,c2_meshagent,80,Critical/Critical,us,2026-01-01 03:08:47
13.200.214.164,c2_havoc,443,Critical/Critical,in,2025-12-14 21:30:06
88.119.170.212,c2_metasploit,3790,Critical/Critical,nl,2025-12-20 19:03:57
13.60.223.123,c2_meshagent,80,Critical/Critical,se,2026-01-01 03:16:56
176.126.240.209,c2_mythic,80,Critical/Critical,gb,2025-12-31 22:28:49
139.59.59.97,c2_metasploit,3790,Critical/Critical,in,2025-12-20 04:03:26
20.199.67.52,c2_covenant,7443,Critical/Critical,fr,2025-12-27 19:11:14
